ds_cargo,cd_municipio,nm_municipio,nr_turno,sg_uf,nr_zona,qt_secoes_agregadas,qt_aptos_tot,qt_comparecimento,qt_votos_nom_validos,qt_votos_brancos,qt_total_vt_leg_validos,qt_total_votos_anulados,qt_votos_validos,qt_votos,qt_total_votos_nulos
Presidente,38270,RIACHÃO DO JACUÍPE,1,BA,114,6,27431,22887,21957,269,0,0,21957,22887,661
Presidente,38296,RIACHO DE SANTANA,1,BA,113,8,24144,18559,17662,261,0,0,17662,18559,636
Presidente,38318,RIBEIRA DO AMPARO,1,BA,79,3,12597,9311,8797,105,0,0,8797,9311,409
Presidente,38334,RIBEIRA DO POMBAL,1,BA,110,10,41818,33822,32413,408,0,0,32413,33822,1001
Presidente,38342,RIBEIRÃO DO LARGO,1,BA,152,0,8092,6194,5913,76,0,0,5913,6194,205
Presidente,38350,RIO DE CONTAS,1,BA,101,4,12313,9631,9129,140,0,0,9129,9631,362
Presidente,38377,RIO DO ANTÔNIO,1,BA,93,3,11504,8522,8087,86,0,0,8087,8522,349
Presidente,38393,RIO DO PIRES,1,BA,111,2,9926,6639,6293,82,0,0,6293,6639,264
Presidente,38415,RIO REAL,1,BA,49,0,30049,22267,21048,419,0,0,21048,22267,800
Presidente,38431,RODELAS,1,BA,158,0,7345,6057,5903,28,0,0,5903,6057,126
Presidente,38458,RUY BARBOSA,1,BA,87,3,25075,18282,17111,216,0,0,17111,18282,955
Presidente,38474,SALINAS DA MARGARIDA,1,BA,30,0,14256,11277,10747,173,0,0,10747,11277,357
Presidente,38490,SALVADOR,1,BA,1,3,76295,62744,60772,618,0,0,60772,62744,1354
Presidente,38490,SALVADOR,1,BA,2,0,91199,75275,71702,1007,0,0,71702,75275,2566
Presidente,38490,SALVADOR,1,BA,3,0,110776,91043,84219,1828,0,0,84219,91043,4996
Presidente,38490,SALVADOR,1,BA,4,0,123095,100386,91727,2617,0,0,91727,100386,6042
Presidente,38490,SALVADOR,1,BA,5,17,85638,71209,67014,1209,0,0,67014,71209,2986
Presidente,38490,SALVADOR,1,BA,6,0,95832,79766,75855,1112,0,0,75855,79766,2799
Presidente,38490,SALVADOR,1,BA,7,1,93453,77636,73879,1103,0,0,73879,77636,2654
Presidente,38490,SALVADOR,1,BA,8,2,106793,87285,80498,1953,0,0,80498,87285,4834
Presidente,38490,SALVADOR,1,BA,9,0,95626,79848,73722,1726,0,0,73722,79848,4400
Presidente,38490,SALVADOR,1,BA,10,1,137510,113288,108688,1363,0,0,108688,113288,3237
Presidente,38490,SALVADOR,1,BA,11,0,118925,97424,90290,2106,0,0,90290,97424,5028
Presidente,38490,SALVADOR,1,BA,12,1,122113,97153,91598,1694,0,0,91598,97153,3861
Presidente,38490,SALVADOR,1,BA,13,0,108658,90654,87158,1117,0,0,87158,90654,2379
Presidente,38490,SALVADOR,1,BA,14,1,117423,94363,88029,1908,0,0,88029,94363,4426
Presidente,38490,SALVADOR,1,BA,15,8,89713,74570,68165,1755,0,0,68165,74570,4650
Presidente,38490,SALVADOR,1,BA,16,0,103945,84612,79339,1652,0,0,79339,84612,3621
Presidente,38490,SALVADOR,1,BA,17,16,105089,85793,77853,2282,0,0,77853,85793,5658
Presidente,38490,SALVADOR,1,BA,18,49,76796,63645,59122,1191,0,0,59122,63645,3332
Presidente,38490,SALVADOR,1,BA,19,0,127208,103920,97079,1992,0,0,97079,103920,4849
Presidente,38512,SANTA BÁRBARA,1,BA,160,6,19551,15826,15184,158,0,0,15184,15826,484
Presidente,38539,SANTA BRÍGIDA,1,BA,181,5,12438,9045,8613,79,0,0,8613,9045,353
Presidente,38555,SANTA CRUZ CABRÁLIA,1,BA,121,2,22217,16507,15733,234,0,0,15733,16507,540
Presidente,38571,SANTA CRUZ DA VITÓRIA,1,BA,29,0,5039,3401,3234,21,0,0,3234,3401,146
Presidente,38598,SANTA INÊS,1,BA,38,3,8578,6073,5754,96,0,0,5754,6073,223
Presidente,38610,SANTALUZ,1,BA,145,2,32092,25091,23721,341,0,0,23721,25091,1029
Presidente,38636,SANTA MARIA DA VITÓRIA,1,BA,72,14,31806,24151,23017,257,0,0,23017,24151,877
Presidente,38652,SANTANA,1,BA,99,5,21488,16377,15614,161,0,0,15614,16377,602
Presidente,38679,SANTANÓPOLIS,1,BA,74,4,9301,7258,6831,143,0,0,6831,7258,284
Presidente,38695,SANTA TEREZINHA,1,BA,107,2,9340,7022,6633,96,0,0,6633,7022,293
Presidente,38717,SANTO AMARO,1,BA,178,15,49786,39040,37085,635,0,0,37085,39040,1320
Presidente,38733,SANTO ANTÔNIO DE JESUS,1,BA,56,9,37020,30507,29192,368,0,0,29192,30507,947
Presidente,38733,SANTO ANTÔNIO DE JESUS,1,BA,202,3,37558,30665,28939,428,0,0,28939,30665,1298
Presidente,38750,SANTO ESTEVÃO,1,BA,143,3,37880,31036,29517,385,0,0,29517,31036,1134
